Tipo: ENVIO | Node: RSU_100012 | MsgID: 5512 | Tempo: 21605.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_27 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_28 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_29 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_30 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_32 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_33 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_35 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_36 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_37 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_39 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_45 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_46 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_48 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_49 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_50 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_52 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_53 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_55 | MsgID: -1 | Tempo: 21785.1
Tipo: COMMUNICATION_METRICS | Round: 3 | Sent: 1 | Received: 0 | PDR: 0.000000 | AvgLatency: 0.000000 | Node: Vehicle_56 | MsgID: -1 | Tempo: 21785.1
